-6	-1	-6	-1	1
0.1	0.5	0.1	0.5	2
0.1	1	0.1	1	3
0.2	0.8	0.2	0.8	4
-6	-0.2	-6	-0.2	5
-8	-3	-8	-3	6
-8	-1	-8	-1	7
-7	-1	-7	-1	8
-6	-2	-6	-2	9
0.001	0.1	0.001	0.1	10
0.01	0.1	0.01	0.1	11
50	400	50	400	12
0.1	18	0.1	18	13
0.3	0.8	0.3	0.8	14
-1.5	-0.5	-1.5	-0.5	15
50	500	50	500	16
0.001	0.05	0.001	0.05	17
-7	-1	-7	-1	18
300	800	300	800	19
5000	14000	5000	14000	20
100	1000	100	1000	21
10	1000	10	1000	22
75	200	75	200	23
10	100	10	100	24
60	120	50	120	25
-10	-1	-10	-1	26
100	600	100	600	27
0.01	0.5	0.01	0.5	28
0.05	0.5	0.05	0.5	29
30	100	30	100	30
0.2	1.2	0.2	1.2	31
0.4	0.7	0.4	0.7	32
10	40	10	40	33
4	10	4	10	34
0.03	0.8	0.03	0.8	35
0.1	1.1	0.1	1.1	36
0.4	2.8	0.4	2.8	37
1.4	1.5	1.4	1.5	38
1.4	1.5	1.4	1.5	39
1.4	1.5	1.4	1.5	40
0.2	0.5	0.2	0.5	41
1500	12000	1500	12000	42
3000	7000	3000	7000	43
-12	-5	-12	-5	44
0.1	0.8	0.1	0.8	45
1       100     1       100     46
